title,Date,UserID ,Reviews,Location Rating,Rooms Rating,Service Rating,stars,Owner Response Date,Owner Response,Brand,Negative,Neutral,Positive,Compound
New York Marriott Downtown,5/25/25 21:11,16441,perfect location for exploring downtown manhattan. the 9/11 memorial is just two blocks away. the building also houses a starbucks and a burger restaurant. the staten island ferry is also just a 10-minute walk away.,5.0,3.0,3.0,3,,,Marriott,0.049,0.855,0.096,0.4215
New York Marriott Downtown,5/23/25 9:01,68783,super comfy beds and kept wonderfully clean. walked to all attractions and close to express subway.,5.0,5.0,5.0,5,,,Marriott,0.0,0.474,0.526,0.9231
New York Marriott Downtown,5/22/25 5:30,36830,wonderful service and great room service!!!,5.0,5.0,5.0,5,,,Marriott,0.0,0.316,0.684,0.865
New York Marriott Downtown,5/20/25 19:39,31236,"they have a hidden destination fee which i didnt like! other than that, there wasnt much difference in the rooms compared to a simple cheaper motels.",5.0,4.0,4.0,5,,,Marriott,0.088,0.912,0.0,-0.3404
New York Marriott Downtown,5/9/25 8:48,52253,hotel was dirty - my son got bites or a rash on him from being in his crib and the customer service was some of the worst other than the front desk manager. we won’t stay at marriott again.,,,,1,,,Marriott,0.212,0.788,0.0,-0.8658
New York Marriott Downtown,5/6/25 9:01,21562,they tacked on a surprise bike fee for the 5 borough bike tour even though we had folding bikes. really scummy. restaurant is mediocre.,3.0,3.0,1.0,1,,,Marriott,0.0,0.916,0.084,0.2732
New York Marriott Downtown,5/5/25 20:15,40403,"decent hotel in downtown manhattan with good rooms but with an exorbitant fee ($52/night).

the check-in was a disaster, the person who attended us did not understand absolutely anything (between the mask and the fact that he spoke super fast), to give you an idea, we did not even know the room number. gentlemen of the hotel, we tourists adapt and try to understand their language but you working in the tourist sector must keep in mind that you are dealing with people who do not speak your same language and even adapting to ours is part of your profession.

the wifi in our room did not work, its captive portal did not work and we could not use it.

the checkout was perfect and fast.",,,,3,,,Marriott,0.04,0.862,0.098,0.7992
New York Marriott Downtown,5/5/25 6:14,53734,"the hotel is a bit old but well maintained and clean.
but the highlight is the location. wall street, the metro, even the ferry docks are within easy walking distance",5.0,4.0,5.0,4,,,Marriott,0.0,0.664,0.336,0.9209
New York Marriott Downtown,5/5/25 4:17,77147,"terrible service , rest was good",5.0,5.0,1.0,5,,,Marriott,0.31,0.4,0.29,-0.0516
New York Marriott Downtown,5/4/25 9:53,29390,rooms are very dark. comfortable bed.,5.0,2.0,3.0,3,,,Marriott,0.0,0.583,0.417,0.5542
New York Marriott Downtown,4/29/25 18:47,61755,recently stayed here over spring break with my friends. after a long travel day the lady who checked us in was very kind and accommodating. the hotel room was clean and quiet. overall we enjoyed our stay and the lady who checked us in made sure we had a great stay! will definitely be returning in the future.,5.0,5.0,5.0,5,,,Marriott,0.0,0.697,0.303,0.969
W New York - Times Square,6/6/25 0:52,42757,the soap bottle pump didn’t work and had an old pube on it. it took over 5 hours and multiple requests to get a new bottle,,,,1,,,Marriott,0.0,1.0,0.0,0.0
W New York - Times Square,6/5/25 16:45,63670,great staff at check in and very nice room. bar is amazing although a bit overpriced and adding auto gratuity (just be aware!),5.0,5.0,5.0,5,,,Marriott,0.0,0.639,0.361,0.9059
W New York - Times Square,6/3/25 19:36,67368,dope bar,5.0,4.0,5.0,5,,,Marriott,0.0,1.0,0.0,0.0
W New York - Times Square,6/1/25 6:08,24929,nice hotel,5.0,5.0,5.0,5,,,Marriott,0.0,0.263,0.737,0.4215
W New York - Times Square,5/31/25 13:36,27190,the hotel was clean but we think there can be a little bit of renovated for this hotel like new tables for the breakfast area new floors and fixing up the walls. another thing we can renovated the reception area.,4.0,4.0,4.0,5,,,Marriott,0.0,0.882,0.118,0.6249
W New York - Times Square,5/30/25 18:30,64649,a great hotel in the heart of new york that allows you to have a great experience and explore this iconic place in the city.,5.0,5.0,5.0,5,,,Marriott,0.0,0.64,0.36,0.9246
W New York - Times Square,5/29/25 19:23,32094,great rooms! nice and close to times square!,4.0,4.0,4.0,4,,,Marriott,0.0,0.445,0.555,0.8168
W New York - Times Square,5/27/25 23:11,36341,"stayed for our anniversary weekend which was also memorial day weekend. nuck, the valet was great in addition to the front desk workers. location is amazing, but room is comparable to a motel 6. we accepted the accessibility room after being told that the only difference is the hand rails in the bathroom. once we saw the room, i immediately called to request a room change which they couldn’t accommodate… although we had just checked in. i asked if we could move the next day which was sunday, never received a call or message stating it was ready, the ac in the room was not flowing properly at all. the shower pressure was very weak and overall, the room did not look as nice as the website’s pictures. compared to other marriott sites, this room felt small and cramped. bathroom did not have any counter space. just a very small area on the sink that can hold a toothbrush and toothpaste.",5.0,1.0,3.0,2,,,Marriott,0.057,0.858,0.085,0.6203
W New York - Times Square,5/27/25 19:29,48149,great location and wonderful friendly service. the rooms and bathrooms were not up to my cleaning standards.,5.0,3.0,5.0,4,,,Marriott,0.0,0.56,0.44,0.9001
W New York - Times Square,5/25/25 12:38,78267,do not book the times square view room. it is a waste of money. i got a room on a high floor and had to climb on to the desk to see a tiny part of times square. when i asked the front desk the manager told me this is new york they have high rises that may obstruct the view. location is convenient but can get noisy.,4.0,2.0,1.0,1,,,Marriott,0.056,0.944,0.0,-0.4497
W New York - Times Square,5/24/25 9:09,53918,"the hotel use to chic, now it feels a bit tired and could use a bigger refresh. the staff is kind and helpful. times square use to be a cool hop location, now it’s just a big commercial tourist area.",3.0,3.0,4.0,3,,,Marriott,0.06,0.722,0.219,0.7717
W New York - Times Square,5/23/25 21:31,98281,the hotel is actually really gross. dirty and outdated.,5.0,1.0,1.0,1,,,Marriott,0.484,0.516,0.0,-0.763
W New York - Times Square,5/13/25 23:12,44261,"excellent and courteous service, fun and youthful atmosphere, excellent hotel location, room quality a bit lower than w hotels i visited in the east.",5.0,4.0,5.0,4,,,Marriott,0.06,0.493,0.447,0.9337
New York Marriott Downtown,4/26/25 5:18,78106,great location. very close to rector str. subway station.,5.0,4.0,4.0,5,,,Marriott,0.0,0.661,0.339,0.6249
New York Marriott Downtown,4/23/25 12:58,87498,"for a marriott, it meets all the location and aesthetic standards, however, the attention is cold from some of its staff.",5.0,5.0,4.0,4,,,Marriott,0.0,1.0,0.0,0.0
New York Marriott Downtown,4/19/25 20:37,43507,our room was beautiful!,5.0,5.0,5.0,5,,,Marriott,0.0,0.417,0.583,0.636
New York Marriott Downtown,4/16/25 19:08,29465,"disappointing. room clean, bed comfy location quiet with s hudson view, but that's not the i gave it 2 starts, the stars are actually for lack of breakfast (yes i know they problem their billy whatever restaurant to do that👎. internet, well that's more complicated than cooking chinese at home. they have 5 different ssids to connect, one for when you're in the room, one for the lobby, another one as a guest, another one for conferences etc etc, plus speed is not waouh. and when you go out and come back... well you'll have to go through the process all over again.",4.0,4.0,2.0,2,,,Marriott,0.073,0.826,0.101,0.3071
New York Marriott Downtown,4/16/25 16:12,32438,very accommodating hotel rooms with excellent friendly front desk service and good staff. the view of the statue of liberty were fabulous.,3.0,5.0,4.0,5,,,Marriott,0.0,0.506,0.494,0.9485
New York Marriott Downtown,4/16/25 16:02,32585,great location!,5.0,5.0,5.0,5,,,Marriott,0.0,0.185,0.815,0.6588
New York Marriott Downtown,4/16/25 11:01,67838,good hotel with larger rooms than usual in nyc. recommended for families. good connection to the rest of the city thanks to the metro. very quiet,3.0,4.0,4.0,4,,,Marriott,0.0,0.677,0.323,0.8591
New York Marriott Downtown,4/12/25 9:33,18179,"clean, great service - really took care of us!",5.0,5.0,5.0,5,,,Marriott,0.0,0.362,0.638,0.8903
New York Marriott Downtown,4/4/25 21:11,52205,spacious rooms! my go to hotel when in nyc,5.0,5.0,5.0,5,,,Marriott,0.0,1.0,0.0,0.0
New York Marriott Downtown,4/4/25 17:45,38570,"good location. room 908 had been updated. guests in room 909 were extremely loud from 3pm - 10am. security and hotel staff were no help. connecting door between 909 and 908 was paper thin. lobby with the two chairs to sit and the attached shake shack style restaurant chain was uninspiring. service was fine — two friendly & two rude front desk members. upon checkin with luggage, door men stood and did not open the front door. was glad that i did not extend my stay and that i switched to the conrad hilton. played phone tag and exchanged 15 emails with management team to address concerns. refund issued which was appreciated. will be sure to pony up to conrad, ritz carlton nomad, or another fidi hotel the next time i’m in nyc. unlikely to return.",4.0,4.0,3.0,3,,,Marriott,0.055,0.799,0.146,0.9173
New York Marriott Downtown,3/20/25 13:55,38574,"the staff was absolutely rude from start to finish the only the room was subpar for what we paid for the price you pay the staff is not welcome at all, and don’t get me started on the elevators there’s no parking and if you do park you have to pay 65 everytime to take your car in or out, we were part of a wedding party there and the were not welcoming at all chipped paint and no lighting in the bathroom",1.0,3.0,1.0,1,,,Marriott,0.165,0.806,0.029,-0.8651
W New York - Times Square,5/10/25 13:56,60832,i paid 1500 for one night for wednesday in the bathroom at pubic hair and the view was horrible,3.0,3.0,3.0,2,,,Marriott,0.163,0.837,0.0,-0.5423
